1402,06060463,Může řidič číst za jízdy z mapy?,"A: Ne, zvyšuje se tím riziko dopravní nehody. Řidič se musí věnovat řízení vozidla.","B: Ano, ale pouze při rychlosti nižší než je 50 km/h.","C: Ano, s výjimkou jízdy na dálnici.",
1615,06040174,"Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?",A: Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.,"B: Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.",C: Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.,
2253,06050523,Přilnavost mezi pneumatikou a povrchem vozovky je závislá na:,"A: Huštění pneumatiky, hloubce jejího dezénu a druhu povrchu vozovky.",B: Huštění pneumatiky a hloubce jejího dezénu. Druh povrchu vozovky nemá výraznější vliv na přilnavost.,C: Druhu povrchu vozovky. Huštění a hloubka dezénu pneumatiky výrazně přilnavost neovlivňují.,
2265,06050522,Přetáčivý smyk u vozidla s pohonem zadních kol a manuální převodovkou budete řešit:,"A: Sešlápnutím spojkového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.","B: Sešlápnutím brzdového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.","C: Sešlápnutím pedálu akcelerátoru a natočením volantu směrem, kterým se pohybuje zadní část vozidla.",
2271,06060275,Příčinou vzniku aquaplaningu je:,A: Rychlá jízda na vozovce pokryté větším množstvím vody.,B: Prudké zrychlení vozidla na mokré vozovce.,C: Prudké brzdění vozidla na mokré vozovce.,
2349,06050507,Při jízdě v obytné zóně se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě začít brzdit, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát mimo vozovku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2350,06050480,Při jízdě v obci se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2351,06050496,Při jízdě se před Vaším vozidlem zpoza parkujících aut náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2352,06050509,"Jaké důsledky mohou mít síly působící při průjezdu zatáčkou na větší náklad, který přepravujete na střešním nosiči zavazadel vozidla?","A: Na náklad působí odstředivá síla, takže se může vysypat nebo posunout.","B: V zatáčce získává vozidlo větší stabilitu, protože náklad snižuje těžiště vozidla.","C: Průjezd zatáčkou nemá žádný vliv na náklad, nemění se těžiště ani jízdní vlastnosti vozidla.",
2355,06050468,"Pokud kontrolka směrových světel bliká výrazně rychleji než obvykle, může být příčinou:",A: Závada na některé ze žárovek směrových světel.,B: Závada na přepínači směrových světel.,C: Závada na startéru vozidla.,
2365,06050434,Co se rozumí aktivní bezpečností vozidla?,B: Vlastnosti vozidla minimalizující příčiny vzniku dopravní nehody.,A: Vlastnosti vozidla minimalizující škody v průběhu dopravní nehody.,C: Vlastnosti vozidla minimalizující následky dopravní nehody po jejím vzniku.,
2366,06050435,Co se rozumí pasivní bezpečností vozidla?,A: Souhrn vlastností vozidla minimalizujících škody v průběhu dopravní nehody.,B: Souhrn vlastností vozidla minimalizujících příčiny vzniku dopravní nehody.,C: Souhrn vlastností vozidla vylučujících následky dopravní nehody.,
2367,06050436,Mezi prvky pasivní bezpečnosti patří:,B: Zádržné systémy.,A: Účinný brzdový systém.,C: Aerodynamická stabilita.,
2368,06050437,Airbagy:,A: Plní svou funkci pouze při řádném užití zádržných systémů .,B: Plně nahrazují funkci bezpečnostních pásů i jiných zádržných systémů.,C: Plní svou funkci pouze ve vozidlech vybavených systémem ABS.,
2372,06050440,Mezi prvky aktivní bezpečnosti patří:,C: Dobrý výhled z vozidla.,A: Airbag.,B: Deformovatelná příď.,
2376,06050476,"Může být schopnost k řízení vozidla ovlivněna i po požití malého množství alkoholu, např. půl litru desetistupňového piva?","A: Ano, i malé množství požitého alkoholu snižuje schopnost k řízení motorového vozidla.","B: Ne, pokud se alkohol pije zároveň s černou kávou.","C: Ne, malé množství požitého alkoholu neovlivňuje schopnost k řízení motorového vozidla.",
2398,06050499,Na dálnici musíte počítat se silným bočním větrem především:,A: Na mostech.,B: V podjezdech.,C: Mezi protihlukovými stěnami.,
2399,06050501,Na dálnici musíte počítat se silným bočním větrem především:,B: V otevřeném terénu.,A: V lesních úsecích.,C: Mezi protihlukovými stěnami.,
2411,06050504,Za minimální bezpečnou vzdálenost mezi za sebou jedoucími vozidly je zpravidla považován:,A: Časový rozestup dvou sekund.,B: Časový rozestup pěti sekund.,C: Časový rozestup tři čtvrtě sekundy.,
2415,06050517,Zvýšené riziko ztráty přilnavosti pneumatik a následného smyku za deště hrozí:,A: V úseku s vyjetými kolejemi.,B: Na silnicích nižší třídy.,C: Na vozovce s betonovým povrchem.,
2435,06060278,Správný tlak huštění pneumatik se zjišťuje:,"A: Na studených, jízdou nezahřátých pneumatikách.",B: Na jízdou zahřátých pneumatikách.,C: Na pneumatikách bez ohledu na jejich teplotu.,
2438,06060424,Co může vést ke smyku vozidla při průjezdu zatáčkami?,B: Nízký tlak v pneumatikách.,A: Jízda při středové dělicí čáře.,C: Nedostatečná rychlost jízdy.,
2439,06060425,Co může vést ke smyku vozidla při průjezdu zatáčkami?,B: Velké rozdíly v nahuštění jednotlivých pneumatik.,A: Malá hmotnost vozidla.,C: Malá hmotnost nákladu.,
