1389,06060412,"Na vozovce je velká kaluž vody, kterou s motocyklem musíte projet. Jak se zachováte?","A: Výrazně snížíte rychlost jízdy, nohy necháte na stupačkách a pomalu projedete kaluží.","B: Nebudete brzdit, jen zvednete nohy ze stupaček a projedete kaluží.",C: Objedu kaluž přes chodník nebo krajnici vozovky.,
1615,06040174,"Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?",A: Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.,"B: Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.",C: Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.,
2253,06050523,Přilnavost mezi pneumatikou a povrchem vozovky je závislá na:,"A: Huštění pneumatiky, hloubce jejího dezénu a druhu povrchu vozovky.",B: Huštění pneumatiky a hloubce jejího dezénu. Druh povrchu vozovky nemá výraznější vliv na přilnavost.,C: Druhu povrchu vozovky. Huštění a hloubka dezénu pneumatiky výrazně přilnavost neovlivňují.,
2271,06060275,Příčinou vzniku aquaplaningu je:,A: Rychlá jízda na vozovce pokryté větším množstvím vody.,B: Prudké zrychlení vozidla na mokré vozovce.,C: Prudké brzdění vozidla na mokré vozovce.,
2297,06060458,"Používání ochranné výstroje jako rukavic, bot a vhodného oblečení:",A: Může u posádky motocyklu výrazně snížit zdravotní následky dopravní nehody.,B: Je zákonnou podmínkou účasti řidiče motocyklu v silničním provozu.,C: Je doporučováno jen pro jízdu na motocyklu na dálnicích a silnicích pro motorová vozidla.,
2312,06050485,Řidič nesmí přepravovat na druhém sedadle motocyklu:,A: Osobu mladší 12 let.,B: Osobu mladší 15 let.,C: Osobu mladší 17 let.,
2314,06050498,Motocykl bez postranního vozíku:,C: Se nesmí vléci ani užít jako vlečné vozidlo.,"A: Se nesmí vléci, smí se však užít jako vlečné vozidlo.","B: Se smí vléci, nesmí se však užít jako vlečné vozidlo.",
2315,06050489,Moped:,C: Se nesmí vléci ani užít jako vlečné vozidlo.,"A: Se nesmí vléci, smí se však užít jako vlečné vozidlo.","B: Se smí vléci, nesmí se však užít jako vlečné vozidlo.",
2316,06050491,Motocykl s postranním vozíkem:,C: Se smí vléci i užít jako vlečné vozidlo.,"A: Se nesmí vléci, smí se však užít jako vlečné vozidlo.","B: Se smí vléci, nesmí se však užít jako vlečné vozidlo.",
2337,06050495,Čím je rychlost jízdy motocyklu vyšší:,C: Tím více musí být v zatáčce motocykl naklopen.,A: Tím lépe lze projíždět zatáčky o malém poloměru.,B: Tím více v zatáčkách natáčíme řídítka.,
2341,06060338,"Pokud je při jízdě na motocyklu nezbytné v nájezdu do zatáčky brzdit, potom je nejvhodnější:","A: Brzdit přední i zadní brzdou, postupně a s výrazně menší silou, než při přímé jízdě.",B: Rychle přeřadit na nižší rychlostní stupeň s následně prudkým puštěním páčky spojky.,C: Intenzivně brzdit pouze přední nebo zadní brzdou.,
2349,06050507,Při jízdě v obytné zóně se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě začít brzdit, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát mimo vozovku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2350,06050480,Při jízdě v obci se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2351,06050496,Při jízdě se před Vaším vozidlem zpoza parkujících aut náhle objeví kutálející se míč. Jak byste měli reagovat?,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí.",
2355,06050468,"Pokud kontrolka směrových světel bliká výrazně rychleji než obvykle, může být příčinou:",A: Závada na některé ze žárovek směrových světel.,B: Závada na přepínači směrových světel.,C: Závada na startéru vozidla.,
2360,06050472,Za jízdy na motocyklu je řidič povinen:,A: Mít na hlavě nasazenou a řádně připevněnou ochrannou přílbu schváleného typu.,"B: Nosit ochranný oděv, například koženou kombinézu.",C: Používat pouze kožené plné boty.,
2361,06050473,Řidič motocyklu nebo mopedu si za jízdy musí chránit zrak:,"B: Vhodným způsobem, například brýlemi nebo štítem, pokud tím není snížena bezpečnost jízdy.","A: Pouze při zhoršených povětrnostních podmínkách, například za deště nebo sněžení.",C: Pouze za ostrého slunce slunečními brýlemi s ochranným UV faktorem.,
2362,06050445,"Může řidič motocyklu přepravovat osobu, která nedosáhne nohama na stupačky?",B: Nesmí.,"A: Ano, ale jen v obci.","C: Může, pokud je přepravované osobě více než 12 let.",
2376,06050476,"Může být schopnost k řízení vozidla ovlivněna i po požití malého množství alkoholu, např. půl litru desetistupňového piva?","A: Ano, i malé množství požitého alkoholu snižuje schopnost k řízení motorového vozidla.","B: Ne, pokud se alkohol pije zároveň s černou kávou.","C: Ne, malé množství požitého alkoholu neovlivňuje schopnost k řízení motorového vozidla.",
2394,06050500,Jaká je možná příčina vzniku nebezpečí pádu motocyklu v zatáčkách?,A: Olej na vozovce.,B: Svislé dopravní značení.,C: Zvýšený okraj na vnější straně vozovky.,
2395,06050503,Jaká je častá příčina vzniku nebezpečí pádu motocyklu v zatáčkách?,B: Vodorovné dopravní značení.,A: Snížená krajnice vozovky.,C: Zvýšený okraj na vnější straně vozovky.,
2398,06050499,Na dálnici musíte počítat se silným bočním větrem především:,A: Na mostech.,B: V podjezdech.,C: Mezi protihlukovými stěnami.,
2399,06050501,Na dálnici musíte počítat se silným bočním větrem především:,B: V otevřeném terénu.,A: V lesních úsecích.,C: Mezi protihlukovými stěnami.,
